"","RB5_A","RB5_B","RB5_C","RB5_D","RB5_E","RB5_F","RB5_G","RB5_H","RB7_A","RB7_B","RB7_C","RB7_D","RB7_E","RB7_F","RB7_G","RB7_H","RB98_A","RB98_B","RB98_C","RB98_D","RB98_E","RB98_F","RB98_G","RB98_H"
"RB5_A",NA,0.000666278,0.000635109,0.000770387,0.000632359,0.000566831,0.000612581,0.00115667,0.0140619,0.0140527,0.0140511,0.0140758,0.0140631,0.0140509,0.014069,0.0140477,0.0135418,0.0137762,0.0135245,0.0135304,0.0135157,0.0135704,0.0136645,0.0137296
"RB5_B",0.000666278,NA,0.000581885,0.000731389,0.000563082,0.000526795,0.000529994,0.00102655,0.0140648,0.014067,0.0140798,0.0141129,0.0140933,0.0140749,0.0140898,0.0140608,0.0135579,0.0137901,0.0135486,0.0135507,0.0135444,0.0135945,0.0136696,0.0137276
"RB5_C",0.000635109,0.000581885,NA,0.000690894,0.000546271,0.000480085,0.000524482,0.00110523,0.0140331,0.0140313,0.0140332,0.0140638,0.0140508,0.0140346,0.0140515,0.0140256,0.0135188,0.0137557,0.0135092,0.0135122,0.0135066,0.0135578,0.0136391,0.0137005
"RB5_D",0.000770387,0.000731389,0.000690894,NA,0.000673279,0.000614065,0.00069164,0.00126059,0.0140745,0.0140537,0.0140418,0.0140525,0.014051,0.014043,0.0140682,0.0140649,0.0135497,0.013782,0.0135146,0.0135271,0.0135094,0.013567,0.0136864,0.013746
"RB5_E",0.000632359,0.000563082,0.000546271,0.000673279,NA,0.00047329,0.000518086,0.00103805,0.0140549,0.0140539,0.0140483,0.0140684,0.01406,0.0140456,0.0140652,0.0140504,0.0135498,0.0137804,0.0135228,0.0135315,0.0135086,0.0135712,0.0136824,0.0137436
"RB5_F",0.000566831,0.000526795,0.000480085,0.000614065,0.00047329,NA,0.000459929,0.00106196,0.0140217,0.0140022,0.0139969,0.0140137,0.0140058,0.013993,0.0140083,0.0139988,0.0134973,0.0137297,0.0134625,0.0134814,0.013452,0.0135183,0.0136447,0.0137054
"RB5_G",0.000612581,0.000529994,0.000524482,0.00069164,0.000518086,0.000459929,NA,0.000993289,0.0140563,0.0140606,0.0140765,0.0141127,0.0140905,0.0140686,0.0140754,0.0140438,0.0135579,0.0137938,0.0135517,0.0135523,0.0135442,0.0135991,0.0136711,0.0137278
"RB5_H",0.00115667,0.00102655,0.00110523,0.00126059,0.00103805,0.00106196,0.000993289,NA,0.0143456,0.014366,0.0143783,0.0144144,0.0143924,0.0143702,0.0143816,0.0143471,0.0138772,0.0141066,0.0138656,0.0138651,0.0138595,0.0139139,0.0139718,0.0140325
"RB7_A",0.0140619,0.0140648,0.0140331,0.0140745,0.0140549,0.0140217,0.0140563,0.0143456,NA,0.000417615,0.000444694,0.000470911,0.00046944,0.000426099,0.000421526,0.000386435,0.014276,0.0144969,0.0142653,0.0142731,0.0142574,0.0143041,0.0143885,0.0144285
"RB7_B",0.0140527,0.014067,0.0140313,0.0140537,0.0140539,0.0140022,0.0140606,0.014366,0.000417615,NA,0.000408697,0.000430623,0.000432825,0.000392559,0.000385996,0.000367761,0.0142603,0.0144853,0.0142294,0.0142452,0.0142199,0.0142759,0.0143951,0.0144369
"RB7_C",0.0140511,0.0140798,0.0140332,0.0140418,0.0140483,0.0139969,0.0140765,0.0143783,0.000444694,0.000408697,NA,0.000430917,0.000438942,0.000407842,0.000405913,0.000391119,0.0142502,0.0144764,0.0142115,0.0142368,0.014198,0.0142633,0.0143945,0.0144401
"RB7_D",0.0140758,0.0141129,0.0140638,0.0140525,0.0140684,0.0140137,0.0141127,0.0144144,0.000470911,0.000430623,0.000430917,NA,0.000451085,0.000420157,0.000408893,0.000417811,0.0142675,0.0144831,0.0142123,0.0142473,0.014193,0.0142706,0.0144317,0.0144775
"RB7_E",0.0140631,0.0140933,0.0140508,0.014051,0.01406,0.0140058,0.0140905,0.0143924,0.00046944,0.000432825,0.000438942,0.000451085,NA,0.00042781,0.000430623,0.000418471,0.0142649,0.0144872,0.0142219,0.0142492,0.0142073,0.0142707,0.0144048,0.0144545
"RB7_F",0.0140509,0.0140749,0.0140346,0.014043,0.0140456,0.013993,0.0140686,0.0143702,0.000426099,0.000392559,0.000407842,0.000420157,0.00042781,NA,0.00038946,0.00037495,0.0142566,0.0144805,0.0142186,0.0142438,0.0142059,0.0142624,0.0143951,0.0144376
"RB7_G",0.014069,0.0140898,0.0140515,0.0140682,0.0140652,0.0140083,0.0140754,0.0143816,0.000421526,0.000385996,0.000405913,0.000408893,0.000430623,0.00038946,NA,0.000359357,0.014281,0.0144735,0.0142387,0.0142636,0.0142243,0.0142914,0.0144232,0.0144723
"RB7_H",0.0140477,0.0140608,0.0140256,0.0140649,0.0140504,0.0139988,0.0140438,0.0143471,0.000386435,0.000367761,0.000391119,0.000417811,0.000418471,0.00037495,0.000359357,NA,0.0142656,0.0144933,0.0142468,0.0142572,0.0142353,0.0142893,0.0143891,0.0144274
"RB98_A",0.0135418,0.0135579,0.0135188,0.0135497,0.0135498,0.0134973,0.0135579,0.0138772,0.014276,0.0142603,0.0142502,0.0142675,0.0142649,0.0142566,0.014281,0.0142656,NA,0.00112641,0.000743106,0.00081559,0.000696787,0.000931838,0.00127247,0.00143975
"RB98_B",0.0137762,0.0137901,0.0137557,0.013782,0.0137804,0.0137297,0.0137938,0.0141066,0.0144969,0.0144853,0.0144764,0.0144831,0.0144872,0.0144805,0.0144735,0.0144933,0.00112641,NA,0.00102219,0.00109236,0.000976582,0.00120534,0.00153517,0.00170367
"RB98_C",0.0135245,0.0135486,0.0135092,0.0135146,0.0135228,0.0134625,0.0135517,0.0138656,0.0142653,0.0142294,0.0142115,0.0142123,0.0142219,0.0142186,0.0142387,0.0142468,0.000743106,0.00102219,NA,0.000695494,0.000551963,0.000818146,0.00119552,0.00137026
"RB98_D",0.0135304,0.0135507,0.0135122,0.0135271,0.0135315,0.0134814,0.0135523,0.0138651,0.0142731,0.0142452,0.0142368,0.0142473,0.0142492,0.0142438,0.0142636,0.0142572,0.00081559,0.00109236,0.000695494,NA,0.000652285,0.000894968,0.00124624,0.00141671
"RB98_E",0.0135157,0.0135444,0.0135066,0.0135094,0.0135086,0.013452,0.0135442,0.0138595,0.0142574,0.0142199,0.014198,0.014193,0.0142073,0.0142059,0.0142243,0.0142353,0.000696787,0.000976582,0.000551963,0.000652285,NA,0.000771362,0.00116821,0.00134519
"RB98_F",0.0135704,0.0135945,0.0135578,0.013567,0.0135712,0.0135183,0.0135991,0.0139139,0.0143041,0.0142759,0.0142633,0.0142706,0.0142707,0.0142624,0.0142914,0.0142893,0.000931838,0.00120534,0.000818146,0.000894968,0.000771362,NA,0.00134996,0.00151419
"RB98_G",0.0136645,0.0136696,0.0136391,0.0136864,0.0136824,0.0136447,0.0136711,0.0139718,0.0143885,0.0143951,0.0143945,0.0144317,0.0144048,0.0143951,0.0144232,0.0143891,0.00127247,0.00153517,0.00119552,0.00124624,0.00116821,0.00134996,NA,0.00176442
"RB98_H",0.0137296,0.0137276,0.0137005,0.013746,0.0137436,0.0137054,0.0137278,0.0140325,0.0144285,0.0144369,0.0144401,0.0144775,0.0144545,0.0144376,0.0144723,0.0144274,0.00143975,0.00170367,0.00137026,0.00141671,0.00134519,0.00151419,0.00176442,NA
